4K,#genre#
CCTV1综合[1920*1080],http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV1综合[1920*1080],http://39.134.19.28/PLTV/88888888/224/3221225829/index.m3u8
CCTV1综合[1920*1080],http://jxgz1.jilu8.cn/PLTV/88888888/224/3221225618/2/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8
CCTV1综合[1920*1080],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227641/index.m3u8
CCTV1综合[1920*1080],http://40874.hlsplay.aodianyun.com/tv_radio_40874/tv_channel_1819.m3u8
CCTV1综合[1920*1080],http://39.134.185.235/PLTV/88888888/224/3221226541/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.214:6610/PLTV/88888888/224/3221225844/2/index.m3u8
CCTV1综合[1920*1080],http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226346/1.m3u8
CCTV1综合[1920*1080],http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226125/2.m3u8
CCTV1综合[1920*1080],http://39.130.206.132:6610/gitv_live/G_CCTV-1-CQ/
CCTV1综合[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225642/index.m3u8codeyj
CCTV1综合[1920*1080],http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229818/index.m3u8
CCTV1综合[1920*1080],http://118.123.60.13:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=053&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://118.123.60.14:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=053&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://118.123.60.15:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=052&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://111.0.93.5/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230713/01.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://120.221.5.166:8089/ucdn.sd.chinamobile.com/2/00/SNM/CHANNEL00000311/index.m3u8
CCTV1综合[1920*1080],http://117.169.119.199:8080/live/cctv-1/index.m3u8
CCTV1综合[1920*1080],http://118.123.60.13:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=035&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8codeyj
CCTV1综合[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225601/index.m3u8
CCTV1综合[1920*1080],http://39.134.19.57/PLTV/88888888/224/3221225684/index.m3u8
CCTV1综合[1920*1080],http://39.130.206.213:6410/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8
CCTV1综合[1920*1080],http://39.135.139.214:6610/PLTV/88888888/224/3221225642/2/index.m3u8
CCTV1综合[1920*1080],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227462/index.m3u8
CCTV1综合[1920*1080],http://39.134.156.16/PLTV/88888888/224/3221225591/index.m3u8
